date,time,usage
2019-01-01,00:00,1.88
2019-01-01,01:00,2.69
2019-01-01,02:00,1.73
2019-01-01,03:00,1.6
2019-01-01,04:00,3.24
2019-01-01,05:00,2
2019-01-01,06:00,3.33
2019-01-01,07:00,3.79
2019-01-01,08:00,1.55
2019-01-01,09:00,-0.85
2019-01-01,10:00,-0.79
2019-01-01,11:00,-2.33
2019-01-01,12:00,-0.17
2019-01-02,13:00,6.1
2019-01-01,14:00,8.75
2019-01-01,15:00,9.01
2019-01-01,16:00,4.76
2019-01-01,17:00,2.78
2019-01-01,18:00,1.18
2019-01-01,19:00,4.42
2019-01-02,00:00,2.09
2019-01-01,21:00,3.22
2019-01-01,22:00,2.8
2019-01-01,23:00,0.9
